INT	INT	INT	INT	STRING	STRING	STRING
id	证明	next_id	地图难度	name	url	data
10000001	0	10000002	1	L1-1	L1-1.url	L1-1.data
10000002	0	10000003	1	L1-2	L1-2.url	L1-2.data
10000003	0	10000004	1	L1-3	L1-3.url	L1-3.data
10000004	0	10000005	1	L1-4	L1-4.url	L1-4.data
10000005	1	10000011	1	L1-5	L1-5.url	L1-5.data
10000006	0	10000007	1	L1-6	L1-6.url	L1-6.data
10000007	0	10000008	1	L1-7	L1-7.url	L1-7.data
10000008	0	10000009	1	L1-8	L1-8.url	L1-8.data
10000009	0	10000010	1	L1-9	L1-9.url	L1-9.data
10000010	1	10000011	1	L1-10	L1-10.url	L1-10.data
10000011	0	10000012	2	L2-1	L2-1.url	L2-1.data
10000012	0	10000013	2	L2-2	L2-2.url	L2-2.data
10000013	0	10000014	2	L2-3	L2-3.url	L2-3.data
10000014	0	10000015	2	L2-4	L2-4.url	L2-4.data
10000015	0	10000016	2	L2-5	L2-5.url	L2-5.data
10000016	0	10000017	2	L2-6	L2-6.url	L2-6.data
10000017	0	10000018	2	L2-7	L2-7.url	L2-7.data
10000018	0	10000019	2	L2-8	L2-8.url	L2-8.data
10000019	0	10000020	2	L2-9	L2-9.url	L2-9.data
10000020	2	10000021	2	L2-10	L2-10.url	L2-10.data
10000021	0	10000022	3	L3-1	L3-1.url	L3-1.data
10000022	0	10000023	3	L3-2	L3-2.url	L3-2.data
10000023	0	10000024	3	L3-3	L3-3.url	L3-3.data
10000024	0	10000025	3	L3-4	L3-4.url	L3-4.data
10000025	0	10000026	3	L3-5	L3-5.url	L3-5.data
10000026	0	10000027	3	L3-6	L3-6.url	L3-6.data
10000027	0	10000028	3	L3-7	L3-7.url	L3-7.data
10000028	0	10000029	3	L3-8	L3-8.url	L3-8.data
10000029	0	10000030	3	L3-9	L3-9.url	L3-9.data
10000030	3	10000031	3	L3-10	L3-10.url	L3-10.data
10000031	0	10000032	4	L4-1	L4-1.url	L4-1.data
10000032	0	10000033	4	L4-2	L4-2.url	L4-2.data
10000033	0	10000034	4	L4-3	L4-3.url	L4-3.data
10000034	0	10000035	4	L4-4	L4-4.url	L4-4.data
10000035	0	10000036	4	L4-5	L4-5.url	L4-5.data
10000036	0	10000037	4	L4-6	L4-6.url	L4-6.data
10000037	0	10000038	4	L4-7	L4-7.url	L4-7.data
10000038	0	10000039	4	L4-8	L4-8.url	L4-8.data
10000039	0	10000040	4	L4-9	L4-9.url	L4-9.data
10000040	4	10000041	4	L4-10	L4-10.url	L4-10.data
