INT	INT	INT	STRING	INT
等级	经验	证明	icon	体力上限
1	0	1	lev_1	0
2	6	1	lev_2	1
3	14	1	lev_3	2
4	23	1	lev_4	3
5	33	1	lev_5	4
6	45	1	lev_6	5
7	58	1	lev_7	6
8	72	1	lev_8	7
9	88	1	lev_9	8
10	105	2	lev_10	9
11	123	2	lev_11	10
12	143	2	lev_12	11
13	162	2	lev_13	12
14	182	2	lev_14	13
15	201	2	lev_15	14
16	221	2	lev_16	15
17	240	2	lev_17	16
18	260	2	lev_18	17
19	279	2	lev_19	18
20	299	3	lev_20	19
21	318	3	lev_21	20
22	338	3	lev_22	21
23	357	3	lev_23	22
24	377	3	lev_24	23
25	396	3	lev_25	24
26	416	3	lev_26	25
27	435	3	lev_27	26
28	455	3	lev_28	27
29	474	3	lev_29	28
30	494	4	lev_30	29
31	513	4	lev_31	30
32	533	4	lev_32	30
33	552	4	lev_33	30
34	572	4	lev_34	30
35	591	4	lev_35	30
36	611	4	lev_36	30
37	630	4	lev_37	30
38	650	4	lev_38	30
39	669	4	lev_39	30
40	689	4	lev_40	30
41	708	4	lev_41	30
42	728	4	lev_42	30
43	747	4	lev_43	30
44	767	4	lev_44	30
45	786	4	lev_45	30
46	806	4	lev_46	30
47	825	4	lev_47	30
48	845	4	lev_48	30
49	864	4	lev_49	30
50	884	4	lev_50	30
51	903	4	lev_51	30
52	923	4	lev_52	30
53	942	4	lev_53	30
54	962	4	lev_54	30
55	981	4	lev_55	30
56	1001	4	lev_56	30
57	1020	4	lev_57	30
58	1040	4	lev_58	30
59	1059	4	lev_59	30
60	1079	4	lev_60	30
